100	390	105	1868	808
107	512	114	1868	818
115	544	118	1868	818
121	544	121	1868	806
128	496	115	1868	803
134	496	104	1868	819
141	604	123	1868	818
148	604	110	1868	813
154	570	103	1868	809
162	570	99	1868	825
170	556	120	1868	847
178	581	95	1868	861
184	581	117	1868	864
192	439	110	1868	860
200	439	152	1868	877
206	406	115	1868	879
214	406	116	1868	876
220	410	100	1868	863
229	410	105	1868	866
235	394	101	1390	860
243	394	101	1366	853
252	368	96	1367	843
258	368	101	1365	828
267	282	107	1352	817
276	282	106	1337	812
282	251	114	1334	811
291	251	155	1338	812
300	320	127	1312	823
306	320	144	1293	814
315	362	113	1311	814
324	362	147	1327	812
330	329	124	1339	815
339	383	108	1355	814
349	383	106	1369	818
355	319	158	1369	820
364	319	164	1352	826
373	344	132	1349	822
379	344	120	1376	828
389	379	119	1394	829
398	379	121	1379	829
404	373	111	1382	825
413	373	123	1392	842
422	378	123	1384	845
428	378	112	1351	844
437	306	114	1385	852
446	306	111	1409	885
452	338	116	1467	921
461	338	117	1494	938
470	330	113	1295	911
477	330	113	1581	931
486	340	118	1557	946
495	330	117	1530	916
502	330	115	1488	874
512	386	117	1440	885
521	386	120	1382	901
528	291	120	1349	848
537	291	119	1305	833
547	269	114	1296	833
554	269	125	1323	832
563	240	125	1305	832
573	240	126	1293	833
580	331	129	1298	834
589	331	119	1297	836
599	355	122	1296	836
605	365	122	1304	836
615	365	134	1357	839
625	364	121	1359	839
631	364	127	1330	840
641	396	127	1335	844
651	396	135	1364	852
657	296	135	1365	854
667	441	134	1354	854
676	441	151	1374	884
683	441	151	1377	888
692	462	289	1359	878
702	462	307	1360	924
709	596	366	1386	953
718	558	314	1378	716
728	558	314	1330	973
734	549	406	1338	969
744	549	380	1401	970
753	505	380	1384	1187
760	505	384	1362	937
770	544	386	1397	1214
779	544	422	1396	971
786	508	422	1368	971
796	539	342	1321	1180
805	539	232	1343	916
812	558	286	1335	887
821	558	235	1318	874
831	558	235	1320	886
838	566	331	1308	882
847	429	272	1272	866
857	429	272	1284	847
864	523	307	1293	851
873	523	329	1329	847
883	618	223	1340	844
890	618	223	1365	854
899	628	219	1373	850
909	628	243	1363	853
915	152	189	1368	854
925	189	189	1389	861
935	189	191	1400	875
941	167	162	1389	863
951	167	162	1379	864
961	149	194	1380	880
967	149	172	1390	878
977	149	154	1387	889
987	213	171	1346	902
993	349	171	1343	940
1003	349	191	1323	938
1012	201	178	1274	914
1018	201	178	1223	947
1028	153	178	1205	951
1037	153	177	1195	943
1043	140	133	1174	908
1052	140	133	1157	923
1061	160	192	1153	934
1067	198	192	1152	964
1076	198	151	1151	924
1085	125	139	1148	892
1093	125	176	1147	888
1099	112	176	1145	882
1107	112	139	1140	889
1113	112	139	1140	915
1121	126	165	1135	894
1130	126	203	1131	879
1138	125	180	1125	879
1146	108	176	1123	868
1156	108	176	1124	867
1164	111	181	1119	858
1171	110	181	1115	851
1179	105	197	1113	877
1186	105	216	1114	906
1195	103	208	1110	907
1203	100	208	1109	890
1209	100	190	1105	1214
1216	92	207	1102	1214
1222	92	207	1102	1214
1231	90	201	1102	1214
1237	90	155	1097	1214
1243	82	155	1094	1214
1249	77	175	1095	1214
1255	77	175	1094	1214
1263	75	200	1088	1214
1269	64	200	1083	1214
1277	64	196	1084	1214
1283	63	186	1086	1214
1291	61	186	1082	1214
1297	57	217	1077	1214
1304	57	186	1076	1214
1311	51	192	1073	1214
1318	53	192	1073	1214
1326	49	238	1073	1214
1332	53	191	1070	1214
1339	52	191	1073	1214
1345	52	239	1074	1214
1352	48	210	1072	1214
1358	47	200	1071	1214
1366	48	200	1070	1214
1372	52	175	1070	1214
1378	52	188	1070	1214
1385	53	149	1070	1214
1391	50	187	1070	1214
1397	57	192	1071	1214
1404	53	143	1098	1214
1410	67	143	1114	1214
1416	143	190	1129	1214
1423	158	128	1126	1214
1429	126	136	1124	1214
1435	172	96	1128	1214
1441	139	83	1138	1214
1448	126	98	1158	1214
1454	111	149	1160	1214
max_RV=422	 on pos 790
max_FW=968	 on pos 134
last_index = 189	 pos(last) = 1461
